tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,8,15.0,27,15,1.0,b¸n bón,chî t©n mai,b¸n bón,,,
101,8,15.0,27,20,,,,,,,
101,8,19.0,22,14,2.0,kÕ to¸n,cty c«ng viªn c©y xanh,ch¨m sãc c©y c¶nh,,,
101,8,19.0,22,14,1.0,c«ng nh©n,cty tho¸t n­íc,tho¸t n­íc,,,
101,8,19.0,22,15,1.0,c«ng nh©n,n/ m¸y bª t«ng thÞnh lÖt,sx bª t«ng,,,
101,8,19.0,22,20,1.0,b¸n t¹p ho¸,t¹i nhµ,b¸n t¹p ho¸,,,
101,8,25.0,6,14,2.0,c«ng nh©n sx t· giÊy,cty cp diana,sx b¨ng t· giÊy,,,
101,8,25.0,6,14,1.0,c«ng nh©n sx t· giÊy,cty cp dianna,sx b¨ng t· giÊy,,,
101,8,25.0,6,15,1.0,nh©n viªn marketing,cty d­îc ¸ ch©u,b¸n thuèc,,,
101,8,25.0,6,15,2.0,d­îc t¸,bÖnh viÖn b¹ch mai,kh¸m ch÷a bÖnh,,,
101,8,25.0,6,19,2.0,sx giµy dÐp gi¶i da,,sx dÐp gi¶ da,,,
101,8,25.0,6,19,1.0,sx dÐp gi¶ da,,sx dÐp gi¶,,,
101,8,27.0,16,13,6.0,KÕ To¸n,Cty ®iÖn tö,T/ c«ng d­êng d©y th«ngt,,,
101,8,27.0,16,13,5.0,Bé ®éi,Binh chñng t¨ng,An ninh QP,,,
101,8,27.0,16,13,3.0,KÕ to¸n,Cty TNHH TM hång anh,KD ®iÖn tho¹i,,,
101,8,27.0,16,14,2.0,C«ng nh©n chÕ biÕn gç,Cty bao b× XK,KD chÕ biÕn gç,B¸n hµng ¨n,c¸ thÓ,DV ¨n uèng
101,8,27.0,16,14,3.0,B¸n hµng ¨n,c¸ thÓ,KD ¨n uèng,,,
101,8,27.0,16,15,4.0,ThiÕt kÕ,Cp ph¸t triÓn c«ng nghÖ,TK l¨p ®Æt cöa,,,
101,8,27.0,16,15,2.0,ViÕt b¸o,B¸o TM vµ thÞ tr­êng,H/§ b¸o chÝ,,,
101,9,3.0,23,13,2.0,kÕ to¸n,ng©n hµng incombank,ng©n hµng,,,
101,9,3.0,23,13,1.0,b¸c sü,BV nhi tw,y tÕ,,,
101,9,3.0,23,14,,,,,,,
101,9,3.0,23,15,2.0,CN in,nhµ m¸y in tiÕn bé,"in lÞch, s¸ch",,,
101,9,3.0,23,15,1.0,CN kü thuËt in,nhµ m¸y in tiÕn bé,"in lÞch, s¸ch",,,
101,9,5.0,8,14,3.0,Gi¸o viªn,TR­êng CÊp 2 NguyÔn Tr·i,Gi¶ng dËy,D¹y häc,C¸ thÓ,Gi¶ng d¹y
101,9,5.0,8,15,1.0,Xe «m,C¸ thÓ,VËn chuyÓn kh¸ch,,,
101,9,5.0,8,15,2.0,B¸n hµng,C¸ thÓ,KD quÇn ¸o,,,
101,9,5.0,8,24,3.0,Gi¸o viªn,Tr­êng mÉu gi¸o T©n Mai,Gi¸o dôc,,,
101,9,5.0,8,24,1.0,B¸n t¹p phÈm,Tù lµm,KD t¹p phÈm,,,
101,9,5.0,8,24,2.0,B¸n t¹p phÈm,Tù lµm,KD t¹p phÈm,,,
101,9,11.0,35,13,2.0,diÔn viªn xiÕc,Liªn ®oµn xiÕc VN,biÓu diÔn xiÕc,,,
