tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,13,7.0,15,19,1427.2,1207.5,219.7,12609.899,10993.1,1616.8,4133.0,4133.0,0.0,3276.0,2676.0,600.0,21832.0,0.0
101,13,7.0,15,24,10577.5,4993.8,5583.7,45668.8,42640.3,3028.5,17390.0,17390.0,0.0,16003.0,16003.0,0.0,8903.0,18500.0
101,13,13.0,10,13,3307.0,3077.9,229.1,32252.5,31756.8,495.69998,13881.0,13581.0,300.0,7950.0,7500.0,450.0,4995.0,15000.0
101,13,13.0,10,14,7962.6997,5512.3,2450.4,78126.6,76296.9,1829.7,23955.0,23370.0,585.0,49250.0,46600.0,2650.0,15950.0,170000.0
101,13,13.0,10,15,9386.4,3957.3,5429.1,31856.5,28720.2,3136.3,12600.0,12100.0,500.0,13580.0,13580.0,0.0,81430.0,50000.0
101,15,3.0,3,13,2505.6,2505.6,0.0,13508.0,13508.0,0.0,5594.0,5594.0,0.0,4004.0,4004.0,0.0,1815.0,6000.0
101,15,3.0,3,14,667.2,667.2,0.0,4951.6,4684.2,267.4,1556.0,1556.0,0.0,973.0,973.0,0.0,2000.0,90.0
101,15,3.0,3,15,1815.4,1815.4,0.0,10339.8,10339.8,0.0,3390.0,3390.0,0.0,2673.0,2673.0,0.0,3450.0,5000.0
101,15,9.0,11,14,2995.0,1843.0,1152.0,17257.0,7796.0,9461.0,3672.0,2592.0,1080.0,810.0,810.0,0.0,831.0,0.0
101,15,9.0,11,15,2549.0,2174.0,375.0,15120.199,8040.3,7079.9,3166.0,2746.0,420.0,1391.0,1391.0,0.0,1260.0,0.0
101,15,9.0,11,20,1423.7,1423.7,0.0,15202.8,7712.5,7490.3,1858.0,1608.0,250.0,1115.0,1115.0,0.0,885.0,0.0
101,15,19.0,13,13,3222.9,3222.9,0.0,23593.6,23593.6,0.0,11188.0,11188.0,0.0,9100.0,9100.0,0.0,4720.0,300000.0
